City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,Aksarka,66.5606,67.7975,5.07,90,16,9.28,RU,2022-04-02 19:18:41
178,Iguape,-24.7081,-47.5553,71.58,88,100,10.22,BR,2022-04-02 19:13:58
179,Yuzhno-Sukhokumsk,44.6581,45.6436,57.61,57,32,3.58,RU,2022-04-02 19:18:41
180,Adrar,20.5022,-10.0711,86.11,11,51,6.93,MR,2022-04-02 19:18:41
181,Margate,51.3813,1.3862,40.87,58,7,7.0,GB,2022-04-02 19:18:42
182,Xalpatlahuac,17.4667,-98.6167,88.88,15,65,1.57,MX,2022-04-02 19:19:48
183,Saint George,37.1041,-113.5841,79.63,20,0,5.01,US,2022-04-02 19:16:31
184,Delmas,18.5447,-72.3028,92.12,33,20,11.5,HT,2022-04-02 19:19:48
185,Port Moresby,-9.4431,147.1797,75.18,81,90,3.06,PG,2022-04-02 19:19:49
186,Mehamn,71.0357,27.8492,27.86,90,100,23.94,NO,2022-04-02 19:18:51
187,New Norfolk,-42.7826,147.0587,54.9,69,93,0.49,AU,2022-04-02 19:17:57
188,Mountain Home,43.133,-115.6912,54.88,100,20,18.41,US,2022-04-02 19:18:38
189,Cherskiy,68.75,161.3,-14.51,100,96,0.72,RU,2022-04-02 19:18:45
190,Plovdiv,42.15,24.75,51.87,71,75,13.8,BG,2022-04-02 19:19:50
191,Hervey Bay,-25.2986,152.8535,68.02,91,0,7.0,AU,2022-04-02 19:19:50
192,Montoro,38.0241,-4.3834,54.18,42,99,8.25,ES,2022-04-02 19:19:50
193,Naryan-Mar,67.6713,53.087,2.1,98,65,6.42,RU,2022-04-02 19:19:51
194,Buala,-8.145,159.5921,79.3,83,99,6.85,SB,2022-04-02 19:19:51
195,Egvekinot,66.3167,-179.1667,-9.83,88,23,15.59,RU,2022-04-02 19:18:20
196,Kalemie,-5.9475,29.1947,74.17,82,100,3.53,CD,2022-04-02 19:19:52
197,Narsaq,60.9167,-46.05,41.22,89,99,3.38,GL,2022-04-02 19:19:52
198,Yellowknife,62.456,-114.3525,3.29,46,20,5.75,CA,2022-04-02 19:19:39
199,Grand Gaube,-20.0064,57.6608,75.38,92,100,5.99,MU,2022-04-02 19:19:52
200,Agadir,30.4202,-9.5982,64.85,76,100,5.1,MA,2022-04-02 19:18:22
201,Nanortalik,60.1432,-45.2371,37.17,94,100,9.24,GL,2022-04-02 19:19:53
202,Cockburn Town,21.4612,-71.1419,78.13,74,2,15.75,TC,2022-04-02 19:19:53
203,Mayya,61.7333,130.2811,16.92,96,100,5.19,RU,2022-04-02 19:19:54
204,Oktyabrskiy,54.4815,53.471,36.81,100,100,5.91,RU,2022-04-02 19:19:54
205,Preobrazheniye,42.9019,133.9064,34.92,90,0,6.76,RU,2022-04-02 19:19:54
206,Xuanwu,32.069,118.8138,42.75,71,0,4.38,CN,2022-04-02 19:19:55
207,East London,-33.0153,27.9116,66.02,84,100,9.75,ZA,2022-04-02 19:19:55
208,Burnie,-41.0667,145.9167,50.22,71,16,6.49,AU,2022-04-02 19:19:55
209,Port Hardy,50.6996,-127.4199,44.78,87,100,16.11,CA,2022-04-02 19:15:23
210,Mao,39.8885,4.2658,46.96,61,20,5.75,ES,2022-04-02 19:19:56
211,Bud,39.447,-86.1758,54.91,51,8,12.59,US,2022-04-02 19:19:56
212,Omboue,-1.5746,9.2618,75.52,90,87,6.62,GA,2022-04-02 19:17:20
213,Banes,20.9625,-75.7186,85.5,58,1,14.67,CU,2022-04-02 19:19:57
214,Esna,25.2934,32.554,89.65,9,95,8.23,EG,2022-04-02 19:19:57
215,Mount Isa,-20.7333,139.5,74.97,25,0,10.36,AU,2022-04-02 19:19:57
216,Nantucket,41.2835,-70.0995,53.71,39,0,12.66,US,2022-04-02 19:19:58
217,Mackenzie,55.2999,-123.1698,39.42,45,40,8.05,CA,2022-04-02 19:19:58
218,Bubaque,11.2833,-15.8333,75.31,71,100,21.32,GW,2022-04-02 19:17:52
219,Khani,41.9563,42.9566,56.77,82,20,9.37,GE,2022-04-02 19:19:59
220,Rudnogorsk,57.2639,103.7519,18.27,88,98,9.28,RU,2022-04-02 19:19:59
221,Tomatlan,19.9333,-105.25,88.7,33,0,7.34,MX,2022-04-02 19:19:59
